,map_id,time_event,description,victim_name,victim_x,victim_y,victim_rank,killer_name,killer_x,killer_y,killer_rank
87,ERANGEL,184,S686,lt8855,440999.8,337984.9,66,adfgsdf13546,441493.3,338047.7,43.0
88,ERANGEL,87,AKM,LongzhuTV2553704,423056.6,324868.3,93,ForeverJL1,423398.9,324809.3,64.0
89,ERANGEL,107,P1911,Yqhpi_xdd,432326.2,636576.4,85,OoldDriver_Liu,432077.5,636358.9,53.0
90,ERANGEL,863,Bluezone,adfgsdf13546,0.0,0.0,43,,,,
91,ERANGEL,98,S686,SF_kuaidiyuan007,420375.9,327814.9,91,BFY-GG175,420264.6,327180.9,76.0
0,ERANGEL,158,M16A4,CCmove79,420082.2,324742.0,68,hhssrr,423471.6,324860.0,49.0
1,ERANGEL,124,Tommy Gun,XiaoJue,373291.3,413806.9,82,ZJJHCYB,373469.7,412983.5,48.0
2,ERANGEL,198,UMP9,9JUNG9,371661.1,399522.2,61,PUBG_S13,372873.5,400342.9,4.0
3,ERANGEL,325,SCAR-L,YOLOHOO,160630.9,596333.3,46,AJustin_Bieber,164326.4,592816.0,32.0
4,ERANGEL,655,SKS,AJustin_Bieber,250676.0,396893.6,32,ChiYu-OaO,246161.3,458509.9,3.0
5,ERANGEL,233,Kar98k,xlxlxlxxll,434791.9,625888.4,58,MuYueyue,437286.0,637791.6,29.0
6,ERANGEL,214,UMP9,LzyZeus,390475.5,287431.3,60,Sandess_2Tap,389847.2,287307.4,8.0
7,ERANGEL,241,AKM,mylove2017,356324.3,517861.2,57,huyaTV-yangchi,356460.6,514339.8,55.0
8,ERANGEL,141,M16A4,SmileFish1,652598.3,106766.8,72,Dapaog__,656899.6,107054.0,63.0
9,ERANGEL,167,S686,xiao_xian_zi,363559.3,413184.9,67,guohuawei2017,363792.6,413272.2,43.0
10,ERANGEL,107,SCAR-L,QianTianDaShen,279348.7,566483.1,88,ChiYu-OaO,280238.0,565595.9,3.0
11,ERANGEL,101,S686,wweqszw,421000.0,324676.9,91,CCmove79,421386.8,324621.0,68.0
12,ERANGEL,96,Hit by Car,TpY_ManbarX,357306.2,634193.7,95,XJ-ChinaAzhar,356175.6,633964.6,31.0
13,ERANGEL,1036,AKM,3K1984,391728.4,204685.6,15,AYERUNKX,413164.6,113434.7,2.0
14,ERANGEL,406,M416,MYYJWKHYN,434470.2,625889.9,40,JIAWENYISHIH,423960.5,628335.8,30.0
15,ERANGEL,695,Motorbike,MuYueyue,425818.1,331753.6,29,MuYueyue,425818.1,331753.6,29.0
16,ERANGEL,99,M16A4,Gaelen,325425.6,398949.5,93,HughieZ,325595.2,399324.3,47.0
17,ERANGEL,1235,M16A4,namemimimi,288878.1,264665.4,7,FZqun676051---,354319.8,190393.7,1.0
18,ERANGEL,683,Grenade,JIAWENYISHIH,425313.3,626985.4,30,XJ-ChinaAzhar,0.0,0.0,31.0
19,ERANGEL,1190,M16A4,Fanxy_B,277639.5,210822.0,9,FZqun676051---,366759.1,167066.2,1.0
20,ERANGEL,1212,AKM,Sandess_2Tap,366987.5,328434.8,8,Fear-comes,414294.0,293769.9,5.0
21,ERANGEL,102,SCAR-L,laoyouji,279280.4,566749.1,89,ChiYu-OaO,279885.3,565347.6,3.0
22,ERANGEL,147,M16A4,bishop930303,535376.1,234058.4,71,laoqian_110,535863.4,233236.7,22.0
23,ERANGEL,276,UMP9,hhssrr,417971.5,324266.0,49,boomboomx2,418301.9,323965.6,38.0
24,ERANGEL,347,M16A4,guohuawei2017,354145.6,407941.4,43,Haojik66,345821.6,442201.6,10.0
25,ERANGEL,921,Groza,8Mile_Rapper,334411.0,218506.8,18,Haojik66,324613.1,207692.8,10.0
26,ERANGEL,1287,AKM,Fear-comes,381686.3,305721.4,5,AYERUNKX,347976.6,213529.9,2.0
27,ERANGEL,270,M416,mmmm9527,450949.8,629059.1,51,MYYJWKHYN,451808.5,629453.1,40.0
28,ERANGEL,150,P1911,dcnvdqxz,292516.8,527146.4,70,Haojik66,298238.1,504926.2,10.0
29,ERANGEL,1153,M16A4,Haojik66,357096.5,245796.9,10,FZqun676051---,377028.2,148679.2,1.0
30,ERANGEL,79,M16A4,BeiBeiShaRen,179988.1,627007.2,96,PP5555888,179682.7,630608.1,66.0
31,ERANGEL,816,Groza,W-uyanzu,478960.6,241911.5,21,Haojik66,412275.0,231507.6,10.0
32,ERANGEL,231,UMP9,COMAPO,360956.2,395711.6,59,Wzt_M4A1,360784.0,395273.8,50.0
33,ERANGEL,125,AKM,pingdiguo2T,419356.3,324400.2,81,boomboomx2,419946.4,324442.0,38.0
34,ERANGEL,117,S686,gudan520,366285.3,409232.3,85,guohuawei2017,366199.3,409324.5,43.0
35,ERANGEL,306,M16A4,HughieZ,350081.1,401291.5,47,galanlidepianzi,354048.2,407713.9,45.0
36,ERANGEL,131,Tommy Gun,qyt159,373648.5,414539.8,78,ZJJHCYB,373522.2,413114.2,48.0
37,ERANGEL,991,AKM,Alshly,447277.4,283482.5,17,Fear-comes,444277.8,291337.8,5.0
38,ERANGEL,305,UMP9,ZJJHCYB,366834.8,401288.2,48,PUBG_S13,366723.6,399845.5,4.0
39,ERANGEL,485,M416,boomboomx2,407096.9,301058.8,38,DYRSHINIBABA,406892.6,302202.2,34.0
40,ERANGEL,356,M16A4,Answer75,211511.0,286239.0,42,Xz__007,210173.3,286016.4,28.0
41,ERANGEL,1011,UMP9,cyz_yy,286149.6,264107.5,16,namemimimi,285630.3,263965.8,7.0
42,ERANGEL,795,AKM,zuoxiansheng0,383125.5,115606.2,23,AYERUNKX,474896.1,76415.74,2.0
43,ERANGEL,252,M416,qewqeweqweq,443165.3,639871.9,53,MuYueyue,442890.1,640362.0,29.0
44,ERANGEL,188,AKM,Dapaog__,666114.6,106636.0,63,AYERUNKX,605506.1,41141.76,2.0
45,ERANGEL,575,SCAR-L,MirJack,249561.5,397727.8,36,AJustin_Bieber,249796.5,410331.0,32.0
46,ERANGEL,438,M16A4,kabudada123,467915.6,93717.55,39,FZqun676051---,554562.9,51922.21,1.0
47,ERANGEL,136,M16A4,PandaTV_1366875,577175.2,120957.3,74,FZqun676051---,603841.3,46853.46,1.0
48,ERANGEL,791,M16A4,Yuxuan002,215734.1,372121.3,25,Lilithyyy,201022.0,362414.9,13.0
49,ERANGEL,879,M416,CUI_God6,237919.8,252773.2,19,cyz_yy,236700.7,253061.9,16.0
50,ERANGEL,112,SCAR-L,tkan88,177429.6,621966.8,86,PP5555888,180090.1,625508.6,66.0
51,ERANGEL,604,M416,DYRSHINIBABA,400865.9,302241.3,34,Sandess_2Tap,402014.2,300337.3,8.0
52,ERANGEL,187,M16A4,showcanon,169854.8,620296.3,64,AJustin_Bieber,170069.2,620486.4,32.0
53,ERANGEL,329,SCAR-L,galanlidepianzi,354030.7,408030.8,45,guohuawei2017,355990.7,410790.6,43.0
54,ERANGEL,620,Micro UZI,MLGBoscar,81788.92,483522.5,33,cyz_yy,83077.28,481891.8,16.0
55,ERANGEL,151,M16A4,yjh398306396,665202.7,114141.2,69,FZqun676051---,604532.8,45070.95,1.0
56,ERANGEL,766,AKM,sugarforyou,440429.5,328130.0,27,Fear-comes,466525.2,316738.9,5.0
57,ERANGEL,100,AKM,AichzzZz,419379.1,324664.0,92,boomboomx2,419708.8,324705.9,38.0
58,ERANGEL,1049,M16A4,vampire37,269832.4,331765.0,14,Lilithyyy,258466.8,331342.6,13.0
59,ERANGEL,242,M16A4,xiaoying113,159375.1,459327.8,56,Lilithyyy,159672.3,457651.6,13.0
60,ERANGEL,136,Punch,KimLevel,0.0,0.0,96,SmileFish1,654402.9,108675.5,72.0
61,ERANGEL,794,AKM,AAA284845,386025.8,115548.6,24,AYERUNKX,474921.4,76404.24,2.0
62,ERANGEL,1152,AKM,wYZKz,421403.1,291135.2,11,Fear-comes,431868.3,292706.6,5.0
63,ERANGEL,197,Punch,huang198606,0.0,0.0,95,cyz_yy,103368.4,542364.6,16.0
64,ERANGEL,1241,M16A4,BigMike1890,288326.6,266817.8,6,FZqun676051---,353267.6,192166.5,1.0
65,ERANGEL,486,SCAR-L,ABCxiaoluo,245650.3,525295.6,37,ChiYu-OaO,270499.6,526728.7,3.0
66,ERANGEL,131,AKM,zp394954910,338728.2,659629.6,77,JIAWENYISHIH,350902.9,660071.3,30.0
67,ERANGEL,270,SKS,muzi1997DXX,291186.3,566335.5,52,ChiYu-OaO,282638.3,557211.7,3.0
68,ERANGEL,857,AKM,93beiying,512459.1,168050.2,20,AYERUNKX,449561.2,96290.91,2.0
69,ERANGEL,127,SCAR-L,AJiebig,364403.8,410329.6,80,xiao_xian_zi,364350.4,410412.9,67.0
70,ERANGEL,118,SCAR-L,xiaoqingdiao1234,223026.7,396305.6,84,Yuxuan002,222940.1,395967.9,25.0
71,ERANGEL,740,Grenade,Xz__007,204848.3,269562.3,28,Xz__007,204848.3,269562.3,28.0
72,ERANGEL,108,Tommy Gun,nightsky_fly,375814.5,414958.5,87,ZJJHCYB,375529.6,414998.0,48.0
73,ERANGEL,1113,AKM,Fanshuai6,459138.5,275625.3,12,Fear-comes,442749.5,289965.4,5.0
74,ERANGEL,272,UMP9,Wzt_M4A1,363090.6,396616.3,50,PUBG_S13,362930.6,396006.0,4.0
75,ERANGEL,247,M16A4,huyaTV-yangchi,356391.8,516401.1,55,Haojik66,312127.3,506626.4,10.0
76,ERANGEL,1099,SCAR-L,Lilithyyy,269704.7,331854.7,13,ChiYu-OaO,275417.4,332996.6,3.0
77,ERANGEL,101,M16A4,STG-1084,153444.6,602225.2,90,AJustin_Bieber,152899.0,602894.0,32.0
78,ERANGEL,1321,M16A4,PUBG_S13,285632.4,318134.1,4,FZqun676051---,334875.2,232380.1,1.0
79,ERANGEL,119,P1911,woaichenjinping,290679.8,517982.5,83,Haojik66,298566.6,504884.8,10.0
80,ERANGEL,134,M16A4,NuanWa,571105.9,124228.8,75,FZqun676051---,603841.3,46853.46,1.0
81,ERANGEL,682,M416,XJ-ChinaAzhar,423376.9,630623.6,31,JIAWENYISHIH,425336.6,626999.3,30.0
82,ERANGEL,799,SKS,laoqian_110,476552.8,240283.8,22,W-uyanzu,477386.6,248176.8,21.0
83,ERANGEL,344,M16A4,kj19930609,405071.1,298688.1,44,Sandess_2Tap,400454.3,296519.0,8.0
84,ERANGEL,402,M16A4,ZZZ-Mm,347870.5,366992.5,41,Haojik66,342497.6,379349.9,10.0
85,ERANGEL,581,AKM,Hi_Gin,434001.2,349258.9,35,Fear-comes,466532.3,317741.9,5.0
86,ERANGEL,176,M416,HJB-DK,622654.6,299057.9,65,piercess4,620987.4,304214.3,26.0
87,ERANGEL,169,M16A4,PP5555888,180191.7,625291.9,66,AJustin_Bieber,170400.5,621978.4,32.0
88,ERANGEL,99,AKM,ESDeath520,421566.2,324333.0,94,wweqszw,421285.9,324022.8,91.0
89,ERANGEL,251,M16A4,WSAT-110,564102.8,131444.4,54,FZqun676051---,610191.3,48510.35,1.0
90,ERANGEL,789,SKS,piercess4,478913.2,241812.0,26,W-uyanzu,477172.6,250471.3,21.0
91,ERANGEL,1420,M16A4,AYERUNKX,354038.6,258086.6,2,FZqun676051---,320256.9,281626.8,1.0
92,ERANGEL,133,M16A4,G_Qqun482354804,0.0,0.0,96,Dapaog__,660344.8,105730.2,63.0
93,ERANGEL,128,Punch,251402503_QQUN,0.0,0.0,82,SmileFish1,653657.5,110443.7,72.0
94,ERANGEL,1352,M16A4,ChiYu-OaO,260480.5,317878.2,3,FZqun676051---,327680.6,247604.5,1.0
0,ERANGEL,76,Grenade,XiaoJue,458413.7,629973.8,90,XiaoJue,458413.7,629973.8,90.0
1,ERANGEL,145,Mini 14,Tomotonis,652695.4,94211.95,73,Da--mi,654491.3,93184.77,65.0
2,ERANGEL,145,S686,GISEON,423191.9,325023.7,71,cpfne,423262.9,324499.2,4.0
