,total_rank,nickname,rank,kills,damage_dealt,walk_distance,ride_distance,time_survived
94,96,laoyouji,89,0,0,23.308220000000002,0.0,102.25
95,96,BigMike1890,6,0,0,938.1674,3975.6286600000003,1240.76
0,84,realchiggazzb,41,0,0,953.947632,0.0,654.174
1,84,Lost_My_hearT,74,0,0,5.605126,0.0,124.06
2,84,rock0000,47,0,23,1158.7616,0.0,522.49
3,84,jiushilidongdong,33,1,106,1211.67419,1114.43018,1015.678
4,84,Fairy-WZY,55,1,77,601.79126,0.0,349.473
5,84,Into_The_Rainbow,10,1,110,2905.00781,1476.19019,1661.973
6,84,3b055,22,1,160,1565.01685,2923.4812,1260.93
7,84,Roninxiu,81,0,0,6.8726210000000005,0.0,105.041
8,84,Criss-Chan,63,1,184,293.685944,0.0,250.72299999999998
9,84,zzungyou2418,7,1,101,1611.4386,0.0,1727.53
10,84,AW25120M2,13,1,121,2949.3315399999997,744.2174,1555.236
11,84,GeiwoM24,48,0,46,753.6174,0.0,488.23900000000003
12,84,Chinese-GodSY,79,0,99,38.840805100000004,0.0,109.734
13,84,jiangzhiyi7,25,0,93,1171.84888,3132.8315399999997,1212.856
14,84,luyadashi,8,0,0,4581.30469,1558.44861,1709.639
15,84,lebulangmaoshao,6,0,20,3221.6225600000002,6498.8374,1776.3370000000002
16,84,LI127230,56,1,91,404.900848,0.0,340.144
17,84,wjj597,64,0,23,297.418854,0.0,237.604
18,84,thelgtnm,3,3,472,3747.79663,691.8752440000001,1891.76
19,84,ZouQiYong,54,1,133,286.045166,0.0,370.85900000000004
20,84,Yiuzhui,81,0,0,0.0,0.0,148.134
21,84,Cai53880,46,0,0,1096.33411,0.0,530.013
22,84,shaguangle,31,1,269,1982.13684,0.0,1105.055
23,84,shehuiwangQAQ,84,0,0,15.2530775,0.0,89.405
24,84,jooeyy,65,0,0,340.0124,0.0,235.637
25,84,caozuhong185969,39,0,0,749.2328,0.0,1126.9669999999999
26,84,breakerworld,62,0,0,298.974365,0.0,252.743
27,84,98kerxx,37,1,251,869.843567,6110.869000000001,831.135
28,84,XuQiang_,80,0,38,81.4971161,0.0,109.574
29,84,AAAzhanghanyu,58,1,84,491.2567,0.0,317.07
30,84,y577466729,42,1,146,758.165833,0.0,646.033
31,84,XiaoJue,5,2,265,3001.67041,1961.8277600000001,1780.346
32,84,wendoudou520,32,0,13,2058.91626,2088.8289999999997,1051.765
33,84,buyiluan,40,0,16,1362.66724,2369.22168,739.072
34,84,869781209,53,0,8,402.10314900000003,1562.34888,396.139
35,84,changjiudehao,45,2,290,730.414368,0.0,530.281
36,84,Routaesa,67,0,89,118.501579,0.0,222.91400000000002
37,84,xiaoming_123,77,0,0,56.11326,0.0,117.255
38,84,zcy003,28,2,225,1240.747,0.0,1165.0230000000001
39,84,TerminatorA0-_,69,1,259,87.0939255,0.0,197.993
40,84,WUIFOK,23,3,302,2790.58228,0.0,1243.001
41,84,Idonotsee,17,1,100,2499.30713,0.0,1481.108
42,84,THRR-BODY,16,0,52,2273.4846199999997,3608.8154299999997,1492.969
43,84,AlSal,75,1,0,13.524018300000002,0.0,122.194
44,84,nam-mgl,14,2,220,3026.9559999999997,6071.56641,1503.96
45,84,KD222b,83,0,58,16.1109867,0.0,91.155
46,84,jonathan11110,38,2,160,1644.9592300000002,1083.80688,819.618
47,84,NaPoMyh,1,6,739,2791.3374,0.0,1926.779
48,84,jinwanchijihaha,49,1,172,555.927,0.0,467.227
49,84,GomPunch,51,1,6,364.4569,0.0,440.733
50,84,OLO1990,11,0,73,4131.9624,1576.7627,1639.682
51,84,North-Thor,34,0,138,469.0658,0.0,913.084
52,84,TongJing001,44,0,0,139.44191,0.0,861.962
53,84,LuckyM_,15,0,89,4158.21875,0.0,1494.955
54,84,Fakermi,26,2,245,1595.97815,0.0,1183.61
55,84,Wozhishanghendi,9,1,103,3528.97729,3314.6459999999997,1672.067
56,84,zhangxiansen,71,0,0,0.0,0.0,152.389
57,84,YINJIAN1995YJ,18,0,73,2682.6940000000004,4832.43555,1457.961
58,84,LT-001122,50,0,0,374.2306,0.0,443.84
59,84,JACK_CHA1,43,1,100,922.1864619999999,0.0,870.007
60,84,liyichao666,78,1,148,26.959815999999996,0.0,115.374
61,84,M4-16F,4,6,716,4334.34033,1693.96582,1882.519
62,84,Youngblood_Wxb,12,0,135,3934.88916,2951.0422399999998,1623.4979999999998
63,84,saberanother,24,0,40,3080.7163100000002,1740.0614,1229.78
64,84,FqqSgg,76,0,0,19.1943779,0.0,119.439
65,84,small_dream,29,0,0,1694.2987100000003,3868.92871,1133.276
66,84,xiaowei666888,27,1,127,1843.7175300000001,5157.25146,1172.4389999999999
67,84,JD0000,66,0,83,283.657532,0.0,235.27200000000002
68,84,Schy2017,19,0,0,2860.4072300000003,2783.2290000000003,1394.4070000000002
69,84,Baozi_55,39,2,280,1146.2241199999999,0.0,808.115
70,84,NNNXXXX,44,2,196,320.103363,0.0,584.849
71,84,mazong1one,57,0,0,548.961365,0.0,330.285
72,84,Ladengxiaotang,82,0,0,100.947777,0.0,99.06299999999999
73,84,xl77581314520,52,0,38,790.538269,0.0,420.301
74,84,LeeDoHun,21,3,395,965.0508,7288.55127,1317.979
75,84,Sadness_su,59,0,0,577.9189,0.0,315.861
76,84,L-t330,43,0,0,1153.62512,0.0,645.2719999999999
77,84,Chinacikang,84,0,0,0.0,0.0,159.295
78,84,Abrahamsss,61,0,0,327.783875,0.0,298.436
79,84,FWJ9527,2,9,767,4552.271479999999,1764.65332,1926.6329999999998
80,84,shengcheng_A,60,2,163,641.7939,0.0,314.632
81,84,aaa98k98kwdfk,84,0,0,0.0,0.0,140.434
82,84,Thebeercp,20,1,100,3555.974,0.0,1348.95
83,84,DATAWOWOWO,68,0,18,105.19884499999999,217.21108999999998,202.852
0,96,yourquitbaba,85,0,0,32.4370956,0.0,115.51100000000001
1,96,mslbq,96,0,0,3.45240879,0.0,94.459
2,96,ycwoxiangni,30,2,268,1695.80847,0.0,761.6439999999999
3,96,A5201314AA,64,1,100,205.8813,0.0,170.84099999999998
4,96,PIPIXIAOMENZOU,38,1,141,285.5456,0.0,513.048
5,96,Fabruary14,73,1,92,40.12142,0.0,134.564
6,96,wlhtlee,92,0,0,0.0,0.0,101.469
7,96,Kwakjisub,60,0,0,112.11235,0.0,226.525
8,96,SlimmmN,43,2,219,505.576141,581.91626,449.041
9,96,wan-69,95,0,0,0.0,0.0,98.461
10,96,07wen,75,1,156,29.7988338,0.0,133.292
11,96,7YearsHongY,7,4,398,3536.9338399999997,0.0,1702.85
12,96,WuAsEn,5,4,403,1108.13428,768.1939,1765.014
13,96,liuzhu200888,39,0,181,1016.03735,0.0,507.625
14,96,Simon-Hebert,66,0,38,103.914345,0.0,165.938
15,96,Kar98k-Zs,81,1,100,28.8761978,0.0,121.087
16,96,LIN-MJ66,46,0,0,516.69104,0.0,402.151
17,96,Raynou,80,0,0,177.081558,0.0,123.68799999999999
18,96,jiangang1,54,1,100,444.8557,0.0,329.241
19,96,liunainai666,96,0,0,0.0,0.0,143.395
20,96,RanChenYou,28,2,170,1565.22034,0.0,871.2710000000001
21,96,147zxz,18,0,97,2036.9558100000002,7916.5830000000005,1330.514
22,96,GM355,68,0,0,149.436615,0.0,146.981
23,96,MAIYUDE1,3,2,384,2819.1921399999997,3812.015,2016.162
24,96,WUFARANG12,14,0,106,3883.70337,734.465454,1455.845
25,96,wangxp777,57,0,33,227.5637,0.0,275.858
26,96,LoosperM,94,0,27,12.662746400000001,0.0,99.46600000000001
27,96,JuQianYishen,26,0,33,2879.9829999999997,461.42407199999997,1027.76
28,96,RyanHongL,56,0,0,496.987152,0.0,290.447
